faction;deckCardId;number;randomHexLabel;randomHexValue;orderLabel;orderName;orderType;orderCount;action;eventName;diceWhite;diceRed;consequence
german;german-1;1;A3;3;RECUPERO;RECUPERO;recover;1;FUOCO D'ASSALTO;CRATERI;1;1;jam
german;german-2;2;A5;5;RECUPERO;RECUPERO;recover;1;FUOCO D'ASSALTO;TRAPPOLA ESPLOSIVA;1;1;jam
german;german-3;3;A7;7;RECUPERO;RECUPERO;recover;1;FUOCO D'ASSALTO;MACERIE;1;2;
german;german-4;4;A9;9;RECUPERO;RECUPERO;recover;1;BOMBE A MANO;POLVERE;1;2;
german;german-5;5;B1;1;RECUPERO;RECUPERO;recover;1;BOMBE A MANO;OBIETTIVO DELLA MISSIONE;2;1;
german;german-6;6;B3;3;RECUPERO;RECUPERO;recover;1;BOMBE A MANO;OBIETTIVO STRATEGICO;2;1;
german;german-7;7;B5;5;RECUPERO;RECUPERO;recover;1;SVENTAGLIATA DI FUOCO;MEDICO;1;3;
german;german-8;8;B7;7;RECUPERO;RECUPERO;recover;1;SVENTAGLIATA DI FUOCO;UCCISO IN AZIONE;1;3;
german;german-9;9;B9;9;RECUPERO;RECUPERO;recover;1;SVENTAGLIATA DI FUOCO;SUPPORTO AEREO;2;2;
german;german-10;10;C1;1;ROTTA;ROTTA;rout;1;SVENTAGLIATA DI FUOCO;SHOCK DA COMBATTIMENTO;2;2;sniper
german;german-11;11;C3;3;ROTTA;ROTTA;rout;1;SVENTAGLIATA DI FUOCO;IMPETO;3;1;
german;german-12;12;C5;5;ROTTA;ROTTA;rout;1;SVENTAGLIATA DI FUOCO;IMPETO;3;1;
german;german-13;13;C7;7;ROTTA;ROTTA;rout;1;BOMBE A MANO;BREZZA;1;4;
german;german-14;14;C9;9;ROTTA;ROTTA;rout;1;BOMBE A MANO;BREZZA;1;4;
german;german-15;15;D1;1;ROTTA;ROTTA;rout;1;BOMBE A MANO;BREZZA;2;3;
german;german-16;16;D3;3;ROTTA;ROTTA;rout;1;FUOCO D'ASSALTO;BREZZA;2;3;
german;german-17;17;D5;5;ROTTA;ROTTA;rout;1;FUOCO D'ASSALTO;BREZZA;3;2;
german;german-18;18;D7;7;ROTTA;ROTTA;rout;1;FUOCO D'ASSALTO;BREZZA;3;2;
