faction;deckCardId;number;randomHexLabel;randomHexValue;orderLabel;orderName;orderType;orderCount;action;eventName;diceWhite;diceRed;consequence
russian;russian-1;1;A2;2;RECUPERO;RECUPERO;recover;1;FUOCO D'ASSALTO;CRATERI;1;1;jam
russian;russian-2;2;A4;4;RECUPERO;RECUPERO;recover;1;FUOCO D'ASSALTO;TRAPPOLA ESPLOSIVA;1;1;jam
russian;russian-3;3;A6;6;RECUPERO;RECUPERO;recover;1;FUOCO D'ASSALTO;MACERIE;1;2;jam
russian;russian-4;4;A8;8;RECUPERO;RECUPERO;recover;1;BOMBE A MANO;POLVERE;1;2;jam
russian;russian-5;5;B2;2;RECUPERO;RECUPERO;recover;1;BOMBE A MANO;OBIETTIVO DELLA MISSIONE;2;1;
russian;russian-6;6;B4;4;RECUPERO;RECUPERO;recover;1;BOMBE A MANO;OBIETTIVO STRATEGICO;2;1;
russian;russian-7;7;B6;6;RECUPERO;RECUPERO;recover;1;SVENTAGLIATA DI FUOCO;MEDICO;1;3;
russian;russian-8;8;B8;8;RECUPERO;RECUPERO;recover;1;SVENTAGLIATA DI FUOCO;MEDICO;1;3;
russian;russian-9;9;B10;10;RECUPERO;RECUPERO;recover;1;SVENTAGLIATA DI FUOCO;SUPPORTO AEREO;2;2;sniper
russian;russian-10;10;C2;2;MOVIMENTO;MOVIMENTO;move;1;SVENTAGLIATA DI FUOCO;SHOCK DA COMBATTIMENTO;2;2;sniper
russian;russian-11;11;C4;4;ROTTA;ROTTA;rout;1;SVENTAGLIATA DI FUOCO;IMPETO;3;1;
russian;russian-12;12;C6;6;ROTTA;ROTTA;rout;1;SVENTAGLIATA DI FUOCO;IMPETO;3;1;
russian;russian-13;13;C8;8;ROTTA;ROTTA;rout;1;DEMOLIZIONI;BREZZA;1;4;
russian;russian-14;14;C10;10;ROTTA;ROTTA;rout;1;FUOCO SOSTENUTO;BREZZA;1;4;
russian;russian-15;15;D2;2;ROTTA;ROTTA;rout;1;FUOCO SOSTENUTO;BREZZA;2;3;
russian;russian-16;16;D4;4;ROTTA;ROTTA;rout;1;FUOCO D'ASSALTO;BREZZA;2;3;
russian;russian-17;17;D6;6;ROTTA;ROTTA;rout;1;FUOCO D'ASSALTO;BREZZA;3;2;
russian;russian-18;18;D8;8;ROTTA;ROTTA;rout;1;FUOCO D'ASSALTO;BREZZA;3;2;
russian;russian-19;19;D10;10;ROTTA;ROTTA;rout;1;FUOCO INCROCIATO;COMMISSARIO;4;1;
russian;russian-20;20;E2;2;MOVIMENTO;MOVIMENTO;move;1;FUOCO INCROCIATO;COMMISSARIO;4;1;
russian;russian-21;21;E4;4;MOVIMENTO;MOVIMENTO;move;1;FUOCO INCROCIATO;COMMISSARIO;1;5;
russian;russian-22;22;E6;6;MOVIMENTO;MOVIMENTO;move;1;FUOCO INCROCIATO;COMMISSARIO;1;5;
russian;russian-23;23;E8;8;MOVIMENTO;MOVIMENTO;move;1;FUOCO INCROCIATO;TRINCERAMENTO;2;4;
russian;russian-24;24;E10;10;MOVIMENTO;MOVIMENTO;move;1;FUOCO INCROCIATO;TRINCERAMENTO;2;4;
russian;russian-25;25;F2;2;MOVIMENTO;MOVIMENTO;move;1;FUOCO INCROCIATO;PROMOZIONE SUL CAMPO;3;3;sniper
russian;russian-26;26;F4;4;MOVIMENTO;MOVIMENTO;move;1;FUOCO INCROCIATO;RICOGNIZIONE;3;3;sniper
russian;russian-27;27;F6;6;MOVIMENTO;MOVIMENTO;move;1;MIMETIZZAZIONE;RICOGNIZIONE;4;2;
russian;russian-28;28;F8;8;AVANZATA;AVANZATA;advance;1;GRANATE FUMOGENE;NEBBIA DI GUERRA;4;2;
russian;russian-29;29;F10;10;AVANZATA;AVANZATA;advance;1;GRANATE FUMOGENE;NEBBIA DI GUERRA;5;1;
russian;russian-30;30;G2;2;ORDINI CONTRADDITTORI;ORDINI CONTRADDITTORI;pass;0;GRANATE FUMOGENE;NEBBIA DI GUERRA;5;1;
russian;russian-31;31;G4;4;RICHIESTA D'ARTIGLIERIA;RICHIESTA D'ARTIGLIERIA;arty;1;UNITA' NASCOSTA;INTERDIZIONE;1;6;
russian;russian-32;32;G6;6;ARTIGLIERIA NEGATA;ARTIGLIERIA NEGATA;arty_denied;1;MINE NASCOSTE;INTERDIZIONE;1;6;
russian;russian-33;33;G8;8;ORDINI CONTRADDITTORI;ORDINI CONTRADDITTORI;pass;0;TRINCERARSI;INTERDIZIONE;2;5;event
russian;russian-34;34;G10;10;ORDINI CONTRADDITTORI;ORDINI CONTRADDITTORI;pass;0;TRINCERARSI;INTERDIZIONE;2;5;event
