versione	tipo	nome	FP	range	move	command	morale
Front	Leader	Hero	2	4	7	0	9
Half	Leader	Hero	1	2	3	0	9
Front	Leader	Private	2	1	6	2	6
Half	Leader	Private	1	0	1	0	7
Front	Leader	Corporal X	1	1	6	1	6
Half	Leader	Corporal X	0	0	1	0	7
Front	Leader	Corporal Y	1	1	6	1	7
Half	Leader	Corporal Y	0	0	1	0	8
Front	Leader	Sergeant X	1	1	6	1	8
Half	Leader	Sergeant X	0	0	1	0	9
Front	Leader	Sergeant Y	2	1	6	2	8
Half	Leader	Sergeant Y	1	0	1	0	9
Front	Leader	Lieutenant X	1	1	6	1	9
Half	Leader	Lieutenant X	0	0	1	0	10
Front	Leader	Lieutenant Y	2	1	6	2	9
Half	Leader	Lieutenant Y	1	0	1	0	10
Front	Leader	Captain	2	1	6	2	10
Half	Leader	Captain	1	0	1	0	11
Front	Squad	Guastatori	6	2	5		8
Half	Squad	Guastatori	3	1	1		8
Front	Squad	Sissi	5	4	6		8
Half	Squad	Sissi	3	1	2		9
Front	Squad	Bersaglieri	5	4	5		8
Half	Squad	Bersaglieri	2	1	1		7
Front	Squad	Fucilieri	4	4	4		7
Half	Squad	Fucilieri	2	1	1		6
Front	Squad	Blackshirt	4	3	3		6
Half	Squad	Blackshirt	2	1	1		5
Front	Team	Weapon	1	1	4		8
Half	Team	Weapon	1	1	1		7
Front	Team	Elite	3	4	5		7
Half	Team	Elite	1	1	1		6
Front	Team	Line	2	3	4		6
Half	Team	Line	1	1	1		5
Front	Team	Green	2	2	3		5
Half	Team	Green	1	1	1		4
Front	Weapon	Flamethrower	11	1			
Front	Weapon	Satchel Charge	12	1			
Front	Weapon	Light MG	3	6			
Front	Weapon	Medium MG	6	10	-1		
Front	Weapon	Heavy MG	8	12	-2		
Front	Weapon	Brixia Mortar	4	2-12	-1		
Front	Weapon	GrW Mortar	6	2-13	-2		
Front	Weapon	Brandt Mortar	7	2-16	-2		
Front	Weapon	Medium Mortar	9	3-16	-3		
Front	Weapon	Mountain Gun	9	16	-3		
Front	Radio	Radio - 75-76mm	8				
Front	Radio	Radio - 81-88mm	9				
Front	Radio	Radio - 105-114mm	10				
Front	Radio	Radio - 150-155mm	12				
Front	Weapon	Molotov Cocktail	6	1			
